split,rel_path,abs_path,width,height,aspect_ratio
train,train/photo/106461/154340.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154340.jpg,768,1024,0.75
train,train/photo/106461/154115.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154115.jpg,1347,1024,1.315
train,train/photo/106461/154345.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154345.jpg,683,1024,0.667
train,train/photo/106461/154119.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154119.jpg,1536,1024,1.5
train,train/photo/106461/154344.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154344.jpg,768,1024,0.75
train,train/photo/106461/154338.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154338.jpg,768,1024,0.75
train,train/photo/106461/154348.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154348.jpg,1536,1024,1.5
train,train/photo/106461/154341.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154341.jpg,768,1024,0.75
train,train/photo/106461/154120.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154120.jpg,1536,1024,1.5
train,train/photo/106461/154343.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154343.jpg,768,1024,0.75
train,train/photo/106461/154339.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154339.jpg,768,1024,0.75
train,train/photo/106461/154337.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154337.jpg,768,1024,0.75
train,train/photo/106461/154122.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154122.jpg,1536,1024,1.5
train,train/photo/106461/154113.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154113.jpg,730,1024,0.713
train,train/photo/106461/154342.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154342.jpg,768,1024,0.75
train,train/photo/106461/625.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\625.jpg,1024,674,1.519
train,train/photo/106461/154124.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154124.jpg,1365,1024,1.333
train,train/herbarium/106461/153999.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\153999.jpg,698,1024,0.682
train,train/herbarium/106461/154323.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154323.jpg,683,1024,0.667
train,train/herbarium/106461/154231.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154231.jpg,683,1024,0.667
train,train/herbarium/106461/154219.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154219.jpg,683,1024,0.667
train,train/herbarium/106461/154197.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154197.jpg,683,1024,0.667
train,train/herbarium/106461/154186.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154186.jpg,683,1024,0.667
train,train/herbarium/106461/154174.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154174.jpg,683,1024,0.667
train,train/herbarium/106461/154042.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154042.jpg,698,1024,0.682
train,train/herbarium/106461/154145.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154145.jpg,683,1024,0.667
train,train/herbarium/106461/154091.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154091.jpg,698,1024,0.682
train,train/herbarium/106461/154066.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154066.jpg,683,1024,0.667
train,train/herbarium/106461/154110.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154110.jpg,698,1024,0.682
train,train/herbarium/106461/154171.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154171.jpg,683,1024,0.667
train,train/herbarium/106461/154249.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154249.jpg,683,1024,0.667
train,train/herbarium/106461/154179.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154179.jpg,683,1024,0.667
train,train/herbarium/106461/154313.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154313.jpg,683,1024,0.667
