class_id,species_name,label_idx
12518,Mangifera indica L.,1
12910,Spondias mombin L.,2
12922,Tapirira guianensis Aubl.,3
13330,Annona glabra L.,6
13370,Annona muricata L.,7
14353,Guatteria ouregou (Aubl.) Dunal,8
15318,Xylopia aromatica (Lam.) Mart.,11
15355,Xylopia frutescens Aubl.,13
19165,Allamanda cathartica L.,14
19489,Asclepias curassavica L.,15
29686,Oreopanax capitatus (Jacq.) Decne. Planch.,16
106023,Merremia umbellata (L.) Hallier f.,18
106461,Costus scaber Ruiz Pav.,20
110432,Evodianthus funifer (Poit.) Lindm.,22
121836,Sloanea grandiflora Sm.,26
127097,Erythroxylum fimbriatum Peyr.,31
127151,Erythroxylum macrophyllum Cav.,32
129645,Croton schiedeanus Schltdl.,34
131079,Euphorbia heterophylla L.,36
131736,Euphorbia prostrata Aiton,37
132107,Euphorbia thymifolia L.,38
132431,Hura crepitans L.,40
132476,Jatropha curcas L.,41
133595,Ricinus communis L.,43
133617,Sapium glandulosum (L.) Morong,44
138662,Chrysothemis pulchella (Donn ex Sims) Decne.,46
141068,Sinningia incarnata (Aubl.) D.L.Denham,48
142550,Heliconia chartacea Lane ex Barreiros,51
143496,Hymenophyllum hirsutum (L.) Sw.,53
144394,Didymochlaena truncatula (Sw.) J. Sm.,56
148977,Clerodendrum paniculatum L.,59
149919,Holmskioldia sanguinea Retz.,62
150135,Hyptis lanceolata Poir.,63
151469,Ocimum campechianum Mill.,64
156526,Aniba megaphylla Mez,67
158341,Nectandra cissiflora Nees,68
158592,Ocotea cernua (Nees) Mez,69
158653,Ocotea floribunda (Sw.) Mez,70
158736,Ocotea longifolia Kunth,71
158793,Ocotea oblonga (Meisn.) Mez,72
158833,Ocotea puberula (Rich.) Nees,73
166822,Caesalpinia pulcherrima (L.) Sw.,78
166869,Cajanus cajan (L.) Millsp.,79
171727,Erythrina fusca Lour.,81
173972,Inga capitata Desv.,83
174017,Inga edulis Mart.,84
177775,Mimosa pudica L.,86
189669,Punica granatum L.,87
191642,Adansonia digitata L.,88
192311,Ceiba pentandra (L.) Gaertn.,89
194035,Hibiscus rosa-sinensis L.,90
209328,Psidium guineense Sw.,91
211059,Nephrolepis biserrata (Sw.) Schott,92
244705,Averrhoa carambola L.,93
248392,Turnera ulmifolia L.,94
254180,Piper peltatum L.,95
275029,Eichhornia crassipes (Mart.) Solms,96
280085,Ceratopteris thalictroides (L.) Brongn.,97
280698,Pityrogramma calomelanos (L.) Link,98
285398,Cassipourea guianensis Aubl.,99
