class_id,species_name,label_idx
12254,Anacardium occidentale L.,0
13276,Annona ambotay Aubl.,4
13325,Annona foetida Mart.,5
14401,Guatteria scandens Ducke,9
15014,Rollinia mucosa (Jacq.) Baill.,10
15330,Xylopia cayennensis Maas,12
105951,Maripa glabra Choisy,17
106387,Costus arabicus L.,19
106466,Costus spiralis (Jacq.) Roscoe,21
116853,Pteridium arachnoideum (Kaulf.) Maxon,23
119986,Olfersia cervina (L.) Kunze,24
120497,Diospyros capreifolia Mart. ex Hiern,25
121841,Sloanea guianensis (Aubl.) Benth.,27
125412,Sphyrospermum cordifolium Benth.,28
126895,Syngonanthus caulescens (Poir.) Ruhland,29
127007,Tonina fluviatilis Aubl.,30
127242,Erythroxylum squamatum Sw.,33
130657,Euphorbia cotinifolia L.,35
132113,Euphorbia tithymaloides L.,39
132501,Jatropha gossypiifolia L.,42
136761,Potalia amara Aubl.,45
140367,Lembocarpus amoenus Leeuwenb.,47
141332,Dicranopteris flexuosa (Schrad.) Underw.,49
141336,Dicranopteris pectinata (Willd.) Underw.,50
142736,Hernandia guianensis Aubl.,52
143706,Trichomanes diversifrons (Bory) Mett. ex Sadeb.,54
143758,Trichomanes punctatum Poir.,55
145020,Cipura paludosa Aubl.,57
148220,Aegiphila macrantha Ducke,58
149264,Congea tomentosa Roxb.,60
149682,Gmelina philippensis Cham.,61
151593,Orthosiphon aristatus (Blume) Miq.,65
156516,Aniba guianensis Aubl.,66
159434,Couratari guianensis Aubl.,74
159516,Eschweilera parviflora (Aubl.) Miers,75
159518,Eschweilera pedicellata (Rich.) S.A.Mori,76
160570,Acacia mangium Willd.,77
169293,Crotalaria retusa L.,80
173914,Inga alba (Sw.) Willd.,82
177730,Mimosa pigra L.,85
