abs_path,label_idx,sample_weight
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154115.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154345.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154119.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154344.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154341.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154120.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154343.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154122.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154113.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154342.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\625.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\106461\154124.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154323.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154231.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154219.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154197.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154186.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154042.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154145.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154091.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154066.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154110.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154171.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154313.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154078.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154212.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154089.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154331.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154084.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154253.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154199.jpg,20,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11502.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11351.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11476.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11540.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11350.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11541.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11523.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11535.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11533.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11297.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11542.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11499.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11352.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11471.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10673.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10643.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10655.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11445.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11295.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10812.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11426.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11388.jpg,1,0.025
D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11126.jpg,1,0.025
